id,adjustment_type,highest_finish,is_eligible,points,position,round_id,round_number,season_id,session_id,session_number,team_id,win_count,year
197606,0,4,t,3,5,92,8,,274,3,60,0,1960
197607,0,11,f,0,,92,8,,274,3,64,0,1960
197608,0,12,f,0,,92,8,,274,3,70,0,1960
197609,0,13,f,0,,92,8,,274,3,2,0,1960
197610,0,13,f,0,,92,8,,274,3,65,0,1960
197611,0,15,f,0,,92,8,,274,3,72,0,1960
197612,0,,f,0,,92,8,,274,3,71,0,1960
197613,0,,f,0,,92,8,,274,3,49,0,1960
197614,0,1,t,48,1,93,9,,277,3,59,6,1960
197615,0,1,t,28,2,93,9,,277,3,58,1,1960
197616,0,1,t,26,3,93,9,,277,3,6,1,1960
197617,0,3,t,6,4,93,9,,277,3,34,0,1960
197618,0,4,t,3,5,93,9,,277,3,60,0,1960
197619,0,4,t,3,6,93,9,,277,3,72,0,1960
197620,0,6,t,1,7,93,9,,277,3,57,0,1960
197621,0,10,f,0,,93,9,,277,3,70,0,1960
197622,0,11,f,0,,93,9,,277,3,64,0,1960
197623,0,13,f,0,,93,9,,277,3,65,0,1960
197624,0,13,f,0,,93,9,,277,3,2,0,1960
197625,0,,f,0,,93,9,,277,3,71,0,1960
197626,0,,f,0,,93,9,,277,3,49,0,1960
197627,0,1,t,48,1,94,10,11,280,3,59,6,1960
197628,0,1,t,34,2,94,10,11,280,3,58,2,1960
197629,0,1,t,26,3,94,10,11,280,3,6,1,1960
197630,0,3,t,8,4,94,10,11,280,3,34,0,1960
197631,0,4,t,3,5,94,10,11,280,3,60,0,1960
197632,0,4,t,3,6,94,10,11,280,3,72,0,1960
197633,0,6,t,1,7,94,10,11,280,3,57,0,1960
197634,0,10,f,0,,94,10,11,280,3,70,0,1960
197635,0,10,f,0,,94,10,11,280,3,71,0,1960
197636,0,11,f,0,,94,10,11,280,3,64,0,1960
197637,0,13,f,0,,94,10,11,280,3,2,0,1960
197638,0,13,f,0,,94,10,11,280,3,65,0,1960
197639,0,,f,0,,94,10,11,280,3,49,0,1960
197640,0,1,t,9,1,95,1,,283,3,74,1,1961
197641,0,2,t,6,2,95,1,,283,3,6,0,1961
197642,0,5,t,2,3,95,1,,283,3,57,0,1961
197643,0,6,t,1,4,95,1,,283,3,59,0,1961
197644,0,7,f,0,,95,1,,283,3,60,0,1961
197645,0,13,f,0,,95,1,,283,3,34,0,1961
197646,0,1,t,15,1,96,2,,286,3,6,1,1961
197647,0,1,t,13,2,96,2,,286,3,74,1,1961
197648,0,5,t,2,3,96,2,,286,3,57,0,1961
197649,0,6,t,2,4,96,2,,286,3,59,0,1961
197650,0,7,f,0,,96,2,,286,3,60,0,1961
197651,0,8,f,0,,96,2,,286,3,34,0,1961
197652,0,1,t,24,1,97,3,,289,3,6,2,1961
197653,0,1,t,13,2,97,3,,289,3,74,1,1961
197654,0,5,t,4,3,97,3,,289,3,59,0,1961
197655,0,5,t,3,4,97,3,,289,3,57,0,1961
197656,0,7,f,0,,97,3,,289,3,60,0,1961
197657,0,8,f,0,,97,3,,289,3,34,0,1961
197658,0,1,t,33,1,98,4,,292,3,6,3,1961
197659,0,1,t,17,2,98,4,,292,3,74,1,1961
197660,0,2,t,9,3,98,4,,292,3,57,0,1961
197661,0,5,t,6,4,98,4,,292,3,59,0,1961
197662,0,6,t,1,5,98,4,,292,3,34,0,1961
197663,0,7,f,0,,98,4,,292,3,60,0,1961
197664,0,,f,0,,98,4,,292,3,75,0,1961
197665,0,,f,0,,98,4,,292,3,55,0,1961
197666,0,,f,0,,98,4,,292,3,65,0,1961
197667,0,1,t,42,1,99,5,,295,3,6,4,1961
197668,0,1,t,17,2,99,5,,295,3,74,1,1961
197669,0,2,t,11,3,99,5,,295,3,57,0,1961
197670,0,4,t,9,4,99,5,,295,3,59,0,1961
197671,0,6,t,1,5,99,5,,295,3,34,0,1961
197672,0,7,f,0,,99,5,,295,3,60,0,1961
197673,0,15,f,0,,99,5,,295,3,77,0,1961
197674,0,,f,0,,99,5,,295,3,76,0,1961
197675,0,,f,0,,99,5,,295,3,75,0,1961
197676,0,,f,0,,99,5,,295,3,55,0,1961
197677,0,,f,0,,99,5,,295,3,65,0,1961
197678,0,1,t,42,1,100,6,,298,3,6,4,1961
197679,0,1,t,26,2,100,6,,298,3,74,2,1961
197680,0,2,t,11,3,100,6,,298,3,57,0,1961
197681,0,4,t,10,4,100,6,,298,3,59,0,1961
197682,0,6,t,1,5,100,6,,298,3,34,0,1961
197683,0,7,f,0,,100,6,,298,3,60,0,1961
197684,0,15,f,0,,100,6,,298,3,77,0,1961
197685,0,,f,0,,100,6,,298,3,76,0,1961
197686,0,,f,0,,100,6,,298,3,75,0,1961
197687,0,,f,0,,100,6,,298,3,55,0,1961
197688,0,,f,0,,100,6,,298,3,78,0,1961
197689,0,,f,0,,100,6,,298,3,65,0,1961
197690,0,1,t,45,1,101,7,,301,3,6,5,1961
197691,0,1,t,26,2,101,7,,301,3,74,2,1961
197692,0,2,t,17,3,101,7,,301,3,57,0,1961
197693,0,3,t,13,4,101,7,,301,3,59,0,1961
197694,0,5,t,3,5,101,7,,301,3,34,0,1961
197695,0,7,f,0,,101,7,,301,3,60,0,1961
197696,0,15,f,0,,101,7,,301,3,77,0,1961
197697,0,,f,0,,101,7,,301,3,79,0,1961
197698,0,,f,0,,101,7,,301,3,76,0,1961
197699,0,,f,0,,101,7,,301,3,80,0,1961
197700,0,,f,0,,101,7,,301,3,75,0,1961
197701,0,,f,0,,101,7,,301,3,65,0,1961
197702,0,,f,0,,101,7,,301,3,55,0,1961
197703,0,,f,0,,101,7,,301,3,78,0,1961
197704,0,1,t,45,1,102,8,12,304,3,6,5,1961
197705,0,1,t,35,2,102,8,12,304,3,74,3,1961
197706,0,2,t,22,3,102,8,12,304,3,57,0,1961
197707,0,3,t,14,4,102,8,12,304,3,59,0,1961
197708,0,3,t,7,5,102,8,12,304,3,34,0,1961
197709,0,7,f,0,,102,8,12,304,3,60,0,1961
197710,0,15,f,0,,102,8,12,304,3,77,0,1961
197711,0,,f,0,,102,8,12,304,3,79,0,1961
197712,0,,f,0,,102,8,12,304,3,76,0,1961
197713,0,,f,0,,102,8,12,304,3,80,0,1961
197714,0,,f,0,,102,8,12,304,3,75,0,1961
197715,0,,f,0,,102,8,12,304,3,65,0,1961
197716,0,,f,0,,102,8,12,304,3,55,0,1961
197717,0,,f,0,,102,8,12,304,3,78,0,1961
197718,0,1,t,9,1,103,1,,307,3,34,1,1962
197719,0,2,t,6,2,103,1,,307,3,74,0,1962
197720,0,3,t,4,3,103,1,,307,3,6,0,1962
197721,0,5,t,2,4,103,1,,307,3,59,0,1962
197722,0,6,t,1,5,103,1,,307,3,57,0,1962
197723,0,,f,0,,103,1,,307,3,55,0,1962
197724,0,,f,0,,103,1,,307,3,81,0,1962
197725,0,1,t,11,1,104,2,,310,3,59,1,1962
197726,0,1,t,10,2,104,2,,310,3,34,1,1962
197727,0,2,t,10,3,104,2,,310,3,6,0,1962
197728,0,2,t,6,4,104,2,,310,3,74,0,1962
197729,0,4,t,3,5,104,2,,310,3,81,0,1962
197730,0,5,t,3,6,104,2,,310,3,57,0,1962
197731,0,,f,0,,104,2,,310,3,55,0,1962
197732,0,,f,0,,104,2,,310,3,80,0,1962
197733,0,1,t,16,1,105,3,,313,3,34,1,1962
197734,0,1,t,15,2,105,3,,313,3,74,1,1962
197735,0,2,t,14,3,105,3,,313,3,6,0,1962
197736,0,1,t,11,4,105,3,,313,3,59,1,1962
197737,0,4,t,5,5,105,3,,313,3,81,0,1962
197738,0,5,t,3,6,105,3,,313,3,57,0,1962
197739,0,,f,0,,105,3,,313,3,55,0,1962
197740,0,,f,0,,105,3,,313,3,82,0,1962
